,tmb_text,negative,neutral,positive
119,the wile times with forrest galante battle royale,0.271,0.729,0.0
120,dropping,0.0,1.0,0.0
121,6oopm toopm 83opm,0.0,1.0,0.0
122,177 m my iseza son,0.0,1.0,0.0
123,what they,0.0,1.0,0.0
124,mostly,0.0,1.0,0.0
125,whatis this s,0.0,1.0,0.0
126,out of,0.0,1.0,0.0
127,and can,0.0,1.0,0.0
128,wits not okay,0.454,0.546,0.0
129,when,0.0,1.0,0.0
130,its like,0.0,0.286,0.714
131,not yet,0.0,1.0,0.0
132,automation,0.0,1.0,0.0
133,demonstrating dem ing,0.0,1.0,0.0
134,to get people like ke pe,0.0,0.667,0.333
135,in the gym,0.0,1.0,0.0
136,this having,0.0,1.0,0.0
137,this on nerve e ,0.0,1.0,0.0
138,30 minutes,0.0,1.0,0.0
139,play games,0.0,0.294,0.706
140,how to retire on ethereum,0.0,1.0,0.0
141,staking ethereum worth itr,0.0,0.612,0.388
142,february crypto what to expect b,0.0,1.0,0.0
143,live nye,0.0,1.0,0.0
144,investanswers quickie b,0.0,1.0,0.0
145,investanswers quickie tgo t b l,0.0,1.0,0.0
146,investanswers quickie etw b,0.0,1.0,0.0
147,my takeaways dl m e s s ari state of crypto t iex f sy hp s,0.0,1.0,0.0
148,avalanche inflation uncovered crypto,0.0,1.0,0.0
149,b dca steroids on,0.0,1.0,0.0
150,how to convince anyone to bitcoin buy,0.0,0.75,0.25
151,will b e poweri,0.0,1.0,0.0
152,coordinated crypto attacke,0.0,1.0,0.0
153,next btc catalyst t b a on chain ta,0.0,1.0,0.0
154,fades fud crypto rises o t b on chain ta,0.259,0.741,0.0
155,bonds btcy proxies 8 b on chain ta,0.0,1.0,0.0
156,investanswers q8a weekly b,0.0,1.0,0.0
157,b lost coins,0.697,0.303,0.0
158,barrons bullishi turning,0.0,1.0,0.0
159,sunday crypto thoughts,0.0,1.0,0.0
160,ps1,0.0,1.0,0.0
161,horizons 76 fps,0.0,1.0,0.0
162,dbuilt the most powerful mo ful system avalable sy le,0.0,0.744,0.256
163,,0.0,0.0,0.0
164,pads gaming standard dads stand,0.0,1.0,0.0
165,,0.0,0.0,0.0
166,ys c cable guys,0.0,1.0,0.0
167,,0.0,0.0,0.0
168,2,0.0,0.0,0.0
169,removing coles t s,0.0,1.0,0.0
170,,0.0,0.0,0.0
171,,0.0,0.0,0.0
172,these are my favourite gaming vs my te,0.0,1.0,0.0
173,logitech worst vs case ipad everi,0.451,0.549,0.0
174,8 masterpiece,0.0,0.0,1.0
175,today,0.0,1.0,0.0
176,ps5 review,0.0,1.0,0.0
177,e,0.0,0.0,0.0
178,s1099 s699,0.0,1.0,0.0
179,zflip galaxy s fljo,0.0,1.0,0.0
180,microsoft windowsi8,0.0,1.0,0.0
181,me tollt piracy malware 8 nutz doan as lor naca lo soeca hot loo,0.0,1.0,0.0
182,mcafee grea vs malware trey we potgaed ion connecoons cl pue so ns 151 erzrold cl peon cuureson see bunes co seeite clealaean,0.0,1.0,0.0
183,nhs cern microsoft xp windows,0.0,0.606,0.394
184,antivirus phones on,0.0,1.0,0.0
185,pcsecurtchannel ie guo e,0.0,1.0,0.0
186,phishing test sio oecedont seed in t es,0.0,1.0,0.0
187,declutter windows 10,0.0,1.0,0.0
188,antivirus free challenge epaz tpsc,0.0,0.395,0.605
189,black screen deathr of,0.0,1.0,0.0
190,the el p,0.0,1.0,0.0
191,n 9 nein no noi e,0.524,0.476,0.0
192,b sapto mining ransomware usssssssssu suuussssssss ssss sssssssssu uusssssssss sssssssssus,0.0,1.0,0.0
193,2015 bitdefender antivirus free vs threats web,0.252,0.45,0.297
194,cuats,0.0,1.0,0.0
195,,0.0,0.0,0.0
196,ron wacin srn,0.0,1.0,0.0
197,kapenrs,0.0,1.0,0.0
198,aeu c,0.0,1.0,0.0
199,pc security channel the,0.0,0.556,0.444
200,,0.0,0.0,0.0
201,,0.0,0.0,0.0
202,,0.0,0.0,0.0
203,,0.0,0.0,0.0
204,,0.0,0.0,0.0
205,,0.0,0.0,0.0
206,,0.0,0.0,0.0
207,,0.0,0.0,0.0
208,suuns tnon,0.0,1.0,0.0
209,,0.0,0.0,0.0
210,,0.0,0.0,0.0
211,cy aaar eang zer sa s e sen aee em nars cnaane see coctes m tug coe,0.0,1.0,0.0
212,,0.0,0.0,0.0
213,,0.0,0.0,0.0
214,,0.0,0.0,0.0
215,,0.0,0.0,0.0
216,sia,0.0,1.0,0.0
217,,0.0,0.0,0.0
218,,0.0,0.0,0.0
219,,0.0,0.0,0.0
220,after 15 monthsa regrets,0.455,0.545,0.0
221,16 99 8be ot 19g0 ak el ll sb stzs b b1c 3070 6800 rtx ti rx xt vs nvidia the is high tax too 3070 ti rx 6800 xt rtx 3070t rix 6800 xt rx god of god of war war god of war god of war ultra 14aop ultra 1440p 1440p ultra 144op ultra dlss fsr 20 quality quality,0.205,0.684,0.111
222,faster 656 and cooler,0.0,1.0,0.0
223,is it fast enoughr but 16x 17x x 15x 15x 201 resident evil exodus doom eternal erpunk metro traytracingl iraytracingl village a,0.349,0.651,0.0
224,gpu 66 gpu as 859 ss meu 6116 gsoe meu 9o1 t cpu 15 18 asd cpu rou 9446 18s8 rak dboia dbolie 12 1a ds le 3080 rtx rtx 4090 vs s1000 worth it extra ls an ultrawider for 3440x1440 ultra 3a40x1440 rt psycho dlss quality dlss quality,0.0,0.961,0.039
225,requirements ststem poonee caot proes aed ce poe vou jokingl must be char annn dicl en a zo od malneo nnoes iroatons rnme coneacnen peoo mpuc ocosabl aealan so nccottnes sbn eoe supnet sd smenes aeotons none pecommeeed ortes srn a de une an ld more like this craed fues batlegrounds payeunnoins bura osed fan tan fotern  ens,0.0,0.914,0.086
226,price same ripoff is one a xin fonoea tto,0.0,1.0,0.0
227,gpu 147 158 ss 8767 tsol mem 66ag cpu 16 ra 17121 3060 rtx dedlz 49 vs unreal engine 511 fortnite with naniter lumen rt tsr tero,0.0,1.0,0.0
228,ultrawided go ,0.0,1.0,0.0
229,gpu newsll de0,0.0,1.0,0.0
230,alid radeon rx go00 e nvidia geforce ftx 30 retail price trend 2021 2022 vs german us eurd ue ine etecine lomesl pnces stmapr elales selnreeon lo ncl exchange o aveege ol ot noed tcs s sd cards o carde,0.0,1.0,0.0
231,current peak 30 days hours played last players players striker global 911747 432 836 983 649 084 56 6831 518 attlegrounds 345 492 70687 448 249617 04 956 jends 690 192014 885823 i master duel heft auto v ri adfpoint,0.0,0.939,0.061
232,bbuti will intel fix el the gpu t 8 marketr lreeel,0.0,1.0,0.0
233,newegg shuffle ifinally event ended won do instructions nocrou s picce oreer micnln cne dut tour mabe oconen ueee ncoacone tese veg,0.0,0.844,0.156
234,think before preorderll you,0.0,1.0,0.0
235,,0.0,0.0,0.0
236,intel and nvidia amdi all disappoint ces at infinite halo amd series ryzen 7000 prototype amd reference motherboard 2x16gb ddrs a800 geforce rtx 3080 drive a1212 on v 22000 282 w,0.088,0.912,0.0
237,denoes 6800 xt rx benchmarked vanguard beta eaglesnest lou 4k ultrar high medium low d resolution scaled 1440p and 1080p 8 to near siaee,0.091,0.909,0.0
238,shipping amd ls even gpuss,0.0,1.0,0.0
239,big navi latest re leaksil,0.0,1.0,0.0
240,like,0.0,0.0,1.0
241,aro likea ptq edina muefuneo,0.0,1.0,0.0
242,,0.0,0.0,0.0
243,heane lt beatmaker 3 review myinitial,0.0,1.0,0.0
244,rea thisis theconeid iphone 1a pro for content cteators,0.0,1.0,0.0
245,bil rol ios 12,0.0,1.0,0.0
246,a m,0.0,0.0,0.0
247,,0.0,0.0,0.0
248,lllg adventures cubasexpnack bea tmaking snowmageddon episode 005,0.0,0.745,0.255
249,adventures bea tmaking episode 016 the residence alien,0.0,0.745,0.255
250,consistency lis perfection,0.0,0.351,0.649
251,passion determination vs ecue thie tnie hang aconversation pnut with dj,0.0,0.612,0.388
252,la ile keoclieng the dust driliz layup 0oo,0.0,1.0,0.0
253,la lz layup drillz deratic teoperen rales eeros persise yous,0.0,1.0,0.0
254,layup drillz ferla eadties tone plcos our,0.0,1.0,0.0
255,la layup drillz,0.0,1.0,0.0
256,lal layup ddill z,0.0,1.0,0.0
257,lal lz layup drillz s ll roeleon plloulee odutes youl eudae pere ton ond,0.0,1.0,0.0
258,las z drillz layup,0.0,1.0,0.0
259,der layup dt oo0 oon o,0.0,1.0,0.0
260,prevmed reversed how i 20 years of arterial plaque,0.0,1.0,0.0
261,difference the real between ldl 8 hdle a1 8 apo apo b h d l,0.0,1.0,0.0
262,cyclodextring dissolves cholesterol it crystal miracle drugb s,0.0,0.612,0.388
263,causing ldl ls attackst heart,0.0,1.0,0.0
264,managing cv riske autophagyefasting biomarkers,0.0,1.0,0.0
265,fasting cancer fmdj 8 prolon,0.595,0.405,0.0
266,prevmed need take do really to you aspirin and statinsy this video first watch,0.0,1.0,0.0
267,lifestyles you improved your calcium and score your increasedlz prevmed,0.0,0.744,0.256
268,attack predictiont heart abdominal ct bmi 8 ali vs prevmed,0.279,0.721,0.0
269,prevmed prevmedhealthcom c in,0.0,1.0,0.0
270,live antioxidant this new ls safex,0.0,1.0,0.0
271,prevmed much cholesterol focus too on,0.0,1.0,0.0
272,preumed shorts t low ldl is that probleme a,0.259,0.741,0.0
273,supplements lifestyle vs prevmed,0.0,1.0,0.0
274,zucchini casserole healthys easys yummy,0.0,0.541,0.459
275,live wilagle prevention now myths ttann amazon prevention myths book function vascular tests lllullil,0.0,0.884,0.116
276,interview with mcclatchie goulder drs 8 of attack the heart 8 stroke prevention center,0.22,0.78,0.0
277,repurposing old drugs against covidi9,0.0,1.0,0.0
278,carbs in beer or mwoo wine emooans eyo ses eaeo liquor le,0.0,1.0,0.0
279,web weve got forum a ree nenres heart attack and stroke prevention witd des cond beewet httpelforum premedheartrision,0.162,0.838,0.0
280,philips norelco onobiato 6,0.0,1.0,0.0
281,smart home dood 6,0.0,0.426,0.574
282,73 9a md worth mon 3 ltr 738pm events s5 no 171 6,0.168,0.687,0.145
283,252 6,0.0,1.0,0.0
284,iphone 12 6,0.0,1.0,0.0
285,6,0.0,0.0,0.0
286,google home 6 6 months later,0.0,1.0,0.0
287,6,0.0,0.0,0.0
288,google home features update 6 2018 winter,0.0,1.0,0.0
289,6,0.0,0.0,0.0
290,9a szx 6,0.0,1.0,0.0
291,worth itr o 6,0.0,0.345,0.655
292,sn mater 6,0.0,1.0,0.0
293,6,0.0,0.0,0.0
294,worth ltr 6,0.0,0.345,0.655
295,6,0.0,0.0,0.0
296,goatoe 320 6,0.0,1.0,0.0
297,,0.0,0.0,0.0
298,siri support airplay for sii drt homepod on fa ay,0.0,0.769,0.231
299,ctv apple tv 4k g unboxing,0.0,1.0,0.0
300,linuss a worst ever tip tech,0.506,0.494,0.0
301,pipewire save will linux audio,0.0,0.556,0.444
302,stop destroying foss projectsi,0.744,0.256,0.0
303,why makea terminal in javascriptyy,0.0,1.0,0.0
304,cant why saasung samsuno be xorg ledmonior ledmonior saasung this easyi,0.0,1.0,0.0
305,even cant gimp surpass thisii,0.0,1.0,0.0
306,ibwm the best wm tiling for beginnersy,0.0,0.588,0.412
307,vsilsd exa which will my be replacement ls,0.0,1.0,0.0
308,in redirect toa private life,0.0,1.0,0.0
309,the differnt kinds of window managers,0.0,1.0,0.0
310,systemd more is than an init,0.0,1.0,0.0
311,youtubes spam bot takeover,0.455,0.545,0.0
312,nothing wrong at alli,0.0,0.54,0.46
313,what in the world is punycode,0.0,1.0,0.0
314,ti staying m ale with my im code editor,0.0,1.0,0.0
315,xorg xinput toggleonvoff any input device,0.0,1.0,0.0
316,software minimalism itsmore than justthelines in oro thecode base,0.0,1.0,0.0
317,terminalis you all need fora podcast,0.0,1.0,0.0
318,chatting with the patrons,0.0,1.0,0.0
319,weeklin review 110812019 edition sick,0.452,0.548,0.0
320,psvrh still worthit mied u to get 20187 in rcality,0.0,1.0,0.0
321,arpara 5k icrooled m through the lens,0.0,1.0,0.0
322,lume pad2 mindi blowne,0.0,1.0,0.0
323,urm zloo artv,0.0,1.0,0.0
324,a oculus cable link alternative better 8 cheaper budget,0.0,0.674,0.326
325,bll f trd kcal vive 2020 cosmos,0.0,1.0,0.0
326,ne,0.0,1.0,0.0
327,wow through lens the,0.0,0.441,0.559
328,next dimension podcast bo ss book i,0.0,1.0,0.0
329,magnet,0.0,1.0,0.0
330,douo,0.0,1.0,0.0
331,mrtv dsvre controlle,0.0,1.0,0.0
332,next dimension podcast qo,0.0,1.0,0.0
333,mrtv live skyrim vr pc f standalone launches den,0.0,1.0,0.0
334,syncas s7 e py,0.0,1.0,0.0
335,ote,0.0,1.0,0.0
336,m e,0.0,0.0,0.0
337,e inflight vr,0.0,1.0,0.0
338,lume pad 2 giveaway,0.0,1.0,0.0
339,vs sh vegl sv olympics day g gloves seb vs lambo off s,0.0,1.0,0.0
340,mine bitcoin how to te ulgaby tof gigabnte b instant money,0.0,1.0,0.0
341,ri er,0.0,1.0,0.0
342,ripsaw ll,0.0,1.0,0.0
343,rtx 3060 t rt s gaanr j,0.0,1.0,0.0
344,s2300 rgb overflow,0.0,1.0,0.0
345,fogsz lmdnilee esigned game ls bo intel s zsgo intel core 1,0.0,1.0,0.0
346,s co core b160 flirn,0.0,1.0,0.0
347,tthe idea do wie do tech rebelteon not best,0.296,0.704,0.0
348,maximus xii formula zao,0.0,1.0,0.0
349,mmbbo wdtd,0.0,1.0,0.0
350,thunderbolt 4 for amd poart bssocreator,0.0,1.0,0.0
351,,0.0,0.0,0.0
352,as terlzs,0.0,1.0,0.0
353,d,0.0,0.0,0.0
354,,0.0,0.0,0.0
355,mp500 bam cihr newores t rkaten,0.0,1.0,0.0
356,,0.0,0.0,0.0
357,whats in bag my computex talpel,0.0,1.0,0.0
358,sroner 21b swnz sabrent costotoo coul,0.0,1.0,0.0
359,vision pro aass,0.0,0.5,0.5
360,what is softwared erp,0.0,1.0,0.0
361,independent read more reviews in and rankings the digital transformation report see linkin bio my ident read,0.0,1.0,0.0
362,estimate your implementation timeline,0.0,1.0,0.0
363,what is clio7 a,0.0,1.0,0.0
364,upgrade how to sap sahana ecc to,0.0,1.0,0.0
365,hcm ocm cure t uncertainty for,0.375,0.625,0.0
366,podcast episode ha ecommerce study client case lessons from transformation failure systems erp we love,0.151,0.548,0.301
367,dirty little secrets digital in transformations,0.367,0.633,0.0
368,digitization in 2025 beyond and trends key in enterprise technology,0.0,1.0,0.0
369,episode podcast h52 hot topics organizational change management and culture organizational culture transformation in what is change managementi,0.0,1.0,0.0
370,psychology the of digital transformation,0.0,1.0,0.0
371,learn norein digital free my transtormation report bio seelink in my j ltok digital learn tral ort,0.0,0.82,0.18
372,ror the and value realization 0f digital naok transformation,0.0,0.769,0.231
373,peoplefirst strategies digital in transformation,0.0,1.0,0.0
374,podcast episode h115 top 10 enterprise tech trends digital strategy theory vs reality digital transformation education in,0.0,0.899,0.101
375,d dcl tn l str atosphere stratosphere 2022 810 februarv,0.0,1.0,0.0
376,transformation digital success failure vs,0.33,0.3,0.37
377,podcast episode 4127 afs role creating music in new beatles trendsi technology space in the enterprise life ajunior consultant the of,0.0,0.901,0.099
378,customize 2070 as bos deploying erp which ls ihe sproach lor soarwarer other 700 comt vaniles customaation lat l no imlind 58x ven cugtomienton 288 voles pe customizc much equired 20sh es ds beawl caher comment vbd voins 15 nents repost cdn can nsts impres like send 11878 impre view overwheiming majoriy of nial seoasad that they houcrt,0.037,0.921,0.042
379,f6 one s 16 sap business one rkol,0.0,1.0,0.0
380,pandemic mass vaccination in a benefits risks versus vanden phd geert bossche dvm vejon interviews mmillan philip mcmillan geert vanden bossche dr research,0.085,0.81,0.105
381,the white recent by geert paper vanden bossche the evolution on of the pandemic mmilan estore phillp dr memillan of emicron explained by philip memillan dt gt ncss,0.0,0.928,0.072
382,behind truth the discovery of vaccines mrna saturday 5th june 2021 time 1800 uk a mmillan ms philip robert malone md dr mcmillan research,0.0,0.905,0.095
383,m millan risks of health the research spike protein saturday april 2023 1800 uk time 1st dr mannan balg joachim gerlach dr phillip mcmillan pakistan germany uk,0.077,0.923,0.0
384,switzerland covid stops vaccine reallyy7,0.286,0.714,0.0
385,university vaccine mandates usa in the,0.0,1.0,0.0
386,vejon thailand myocarditis research watch this parents must subscribe,0.0,1.0,0.0
387,vejon conferences covid coalition conference long april saturday 3oth i3ooet llsoo uk time 2022 a speakert seeakerr speakerz cana or breine di mechog van elanog drleo onaand phd swpled sencil aachin cerch d shanie chely di aboomanes bao vute pio dr gup usa ceman soun alfea panelists,0.0,1.0,0.0
388,crowds at did world cup lead to excess deaths subscribe,0.0,1.0,0.0
389,mmillan the missing virology e research immunology in covidi9 censot smith phd o s  o 8,0.18,0.82,0.0
390,divide and conquer through covid19 dr philip mcmillan,0.0,1.0,0.0
391,young old dementia brain brain brain,0.0,1.0,0.0
392,failure of high dose steroidsi oxford recovery trial inconceivabley subscribe,0.268,0.732,0.0
393,autoimmunity in govidig dontlook up memillan dr philip making medicine make sense,0.0,1.0,0.0
394,the sarscov2 patent questions,0.0,1.0,0.0
395,conferences vejon innovative covid solutions long saturday 2athjuly uk time a izoo 2021 buce pateson or anntlle ollinga shanla cheiy tim robnsen dr dr de usa necherands soulh ainea or neil bodie or oln abules prol brust uhe,0.0,0.884,0.116
396,covid vaxilong congress post saturday sunday 26th 27th august 2023 18800 uk time 8 8 long covid presenters coalmon or hude lcmion josalne ocrigen cono dr snrae cltny di bond inige or wrnin bag or nad petr o broen o foon foso plo plo cunld cnanes ringy liba frsalet jeaeny we wacoln none sanon hoe iol,0.0,1.0,0.0
397,covide19 theory of autoimmunity acex to prof bruce uhal philip bodie dr mcmillan dr neil,0.0,1.0,0.0
398,vejon,0.0,1.0,0.0
399,relationships often change when someone has dementia veoonhealt con vejon messace fon details,0.0,1.0,0.0
400,california pre earthg uake signalstt energetic a grand culmination will occur march 7th days 3 t magnetic reconnection events solar cycle 25 plasma spring tide glithospheric loading magnetotail earths the solar flux in extreme moon anomolous schumann resonances,0.0,0.848,0.152
401,cme sun earth brace for impact ch hss,0.0,1.0,0.0
402,higher schumann potentials electron precipitation geomagnetic storms are becoming more frequent ozone destruction stronger uv light,0.193,0.681,0.126
403,pluto schumann burstsil saturn earthquakesi earth critical venus arogeaes energy mercury sun mars alert july 2123,0.117,0.663,0.219
404,water turning water into wine energy quantum infusion dynamics,0.0,0.625,0.375
405,foundational modef 7 83 hz te 015 hz,0.0,1.0,0.0
406,gern is power spikesi changing earthp,0.0,1.0,0.0
407,schumann power grid resonances digestive rhythms health gut 8l emfs complete guide,0.0,1.0,0.0
408,24 hiz 5 ss awakens,0.0,1.0,0.0
409,schumann resonance masterguide,0.0,1.0,0.0
410,f,0.0,0.0,0.0
411,insulation kills magnetism anxiety depression fear,0.858,0.142,0.0
412,consciousness is everywhere including yours westtca bioelectricity series part 1,0.0,1.0,0.0
413,dd tde go do ntials ionosp lonospheric potentials before ter a beforelduringlafter a gag geomagnetic storm i ga ge storm anunug laf od ad su,0.103,0.897,0.0
414,stefan burns live biomagnetic therapy f1 mccarthy with lynn,0.0,1.0,0.0
415,schumane resoares bioelectric database are a unlimited downloads you await,0.0,0.851,0.149
416,yogis why edge have an and anyone be e can one,0.0,1.0,0.0
417,amplitudel from 59 space or earthri,0.0,1.0,0.0
418,300 solar cycle  200  100 0 1750 2000 increasing solar energy,0.0,0.811,0.189
419,,0.0,0.0,0.0
420,pad aftet math sooose,0.0,1.0,0.0
421,years po,0.783,0.217,0.0
422,axiom seodune station,0.0,1.0,0.0
423,update new,0.0,1.0,0.0
424,bea progresst spocsoes,0.0,1.0,0.0
425,4s ed be de ael liy epeageug,0.0,1.0,0.0
426,orbital obue reef,0.0,1.0,0.0
427,first launch zodanmem ronoes,0.0,1.0,0.0
428,update new sorsatet,0.0,1.0,0.0
429,date launch pcegeug,0.0,1.0,0.0
430,ses complications luakot spoee,0.0,1.0,0.0
431,old new uae poer,0.0,1.0,0.0
432,update spacabucie mne,0.0,1.0,0.0
433,cancelled luake spage,0.5,0.5,0.0
434,launch spacoeuctet operations,0.0,1.0,0.0
435,hls complications mespacouct,0.0,1.0,0.0
436,needs repairs nospacoucte,0.0,1.0,0.0
437,updarte nospacceuct,0.0,1.0,0.0
438,10 years 3 years lad poer,0.0,1.0,0.0
439,3 spacceugtet tne flights per dayb,0.0,1.0,0.0
440,eeeerie oee googlearh,0.0,1.0,0.0
441,cillmateviener by jim lee mraoane image com arigiow o  l lonospherc heales sounuae rockets z nrora ateon 43 miles satsule s rad sae uanamorcannistioico lasers cloud s scedl nocnukant clolb b cloud lonter urgon 53 miles sunafe aanora ricrlon s ns someee s ship tracks contrallinduced cmn nater vper pollution crons 51 miles laer  30k foct s cans arrnorees 2018 neather nodification technologies nolned tn,0.0,1.0,0.0
442,,0.0,0.0,0.0
443,climateviewer 3d tutorial climateviewerorg,0.0,1.0,0.0
444,lucie audette united states c e protection ntal senior policy adviser us environmental protection agency t epad,0.0,0.823,0.177
445,6 sustainable living,0.0,1.0,0.0
